iter	Passed	Remaining
195	4922	7634
196	4946	7608
197	4972	7584
198	4992	7552
199	5020	7530
200	5045	7505
201	5070	7480
202	5094	7454
203	5119	7427
204	5140	7397
205	5167	7374
206	5190	7347
207	5213	7319
208	5235	7289
209	5265	7271
210	5305	7266
211	5350	7269
212	5376	7244
213	5400	7217
214	5425	7191
215	5448	7163
216	5469	7132
217	5488	7099
218	5506	7065
219	5527	7034
220	5550	7006
221	5576	6982
222	5597	6953
223	5617	6921
224	5637	6890
225	5663	6866
226	5690	6843
227	5717	6820
228	5741	6794
229	5765	6768
230	5787	6739
231	5811	6713
232	5833	6684
233	5855	6656
234	5878	6628
235	5903	6604
236	5925	6575
237	5945	6545
238	5969	6518
239	5994	6494
240	6018	6467
241	6040	6439
242	6063	6413
243	6085	6384
244	6108	6357
245	6128	6328
246	6151	6300
247	6173	6272
248	6194	6244
249	6206	6206
250	6228	6178
251	6253	6154
252	6277	6128
253	6301	6103
254	6334	6086
255	6356	6058
256	6377	6030
257	6399	6003
258	6420	5974
259	6442	5946
260	6466	5921
261	6486	5892
262	6514	5870
263	6535	5842
264	6559	5816
265	6580	5789
266	6603	5762
267	6627	5737
268	6649	5710
269	6669	5681
270	6690	5653
271	6712	5626
272	6735	5600
273	6761	5576
274	6785	5551
275	6807	5524
276	6829	5498
277	6851	5471
278	6871	5442
279	6895	5417
280	6916	5390
281	6934	5360
282	6950	5329
283	6969	5300
284	6995	5277
285	7022	5254
286	7043	5227
287	7066	5201
288	7088	5175
289	7108	5147
290	7129	5120
291	7153	5095
292	7174	5068
293	7199	5044
294	7220	5017
295	7242	4991
296	7274	4972
297	7299	4948
298	7322	4922
299	7343	4895
300	7365	4869
301	7385	4842
302	7408	4816
303	7429	4789
304	7450	4763
305	7475	4739
306	7510	4721
307	7538	4699
308	7566	4676
309	7593	4654
310	7614	4627
311	7638	4602
312	7659	4576
313	7681	4550
314	7701	4522
315	7727	4499
316	7752	4475
317	7777	4451
318	7793	4421
319	7806	4391
320	7825	4363
321	7842	4335
322	7858	4306
323	7879	4280
324	7901	4254
325	7922	4228
326	7942	4202
327	7963	4175
328	7984	4150
329	8005	4124
330	8028	4099
331	8049	4073
332	8071	4047
333	8094	4023
334	8118	3998
335	8142	3974
336	8182	3957
337	8209	3934
338	8231	3909
339	8255	3885
340	8276	3859
341	8298	3833
342	8320	3808
343	8341	3782
344	8367	3759
345	8387	3733
346	8407	3706
347	8430	3682
348	8455	3658
349	8475	3632
350	8496	3606
351	8517	3581
352	8539	3555
353	8559	3530
354	8579	3504
355	8604	3480
356	8629	3456
357	8656	3433
358	8677	3408
359	8700	3383
360	8729	3361
361	8751	3336
362	8773	3311
363	8794	3285
364	8816	3260
365	8845	3238
366	8872	3215
367	8892	3189
368	8917	3165
369	8938	3140
370	8958	3115
371	8986	3092
372	9008	3067
373	9031	3042
374	9052	3017
375	9074	2992
376	9096	2967
377	9118	2942
378	9140	2918
379	9165	2894
380	9187	2869
381	9208	2844
382	9236	2821
383	9257	2796
384	9282	2772
385	9305	2748
386	9328	2723
387	9347	2698
388	9369	2673
389	9389	2648
390	9409	2623
391	9433	2598
392	9450	2572
393	9476	2549
394	9498	2524
395	9522	2500
396	9546	2476
397	9572	2453
398	9597	2429
399	9628	2407
400	9656	2383
401	9677	2359
402	9698	2334
403	9718	2309
404	9743	2285
405	9765	2260
406	9792	2237
407	9817	2213
408	9839	2189
409	9860	2164
410	9882	2139
411	9904	2115
412	9924	2090
413	9946	2066
414	9966	2041
415	9991	2017
416	10017	1993
417	10050	1971
418	10072	1947
419	10097	1923
420	10119	1898
421	10141	1874
422	10162	1849
423	10183	1825
424	10206	1801
425	10233	1777
426	10257	1753
427	10278	1729
428	10299	1704
429	10326	1681
430	10346	1656
431	10368	1632
432	10390	1607
433	10409	1583
434	10426	1558
435	10451	1534
436	10477	1510
437	10499	1486
438	10520	1461
439	10541	1437
440	10563	1413
441	10588	1389
442	10611	1365
443	10633	1341
444	10661	1317
445	10691	1294
446	10725	1271
447	10752	1248
448	10773	1223
449	10794	1199
450	10815	1175
451	10836	1150
452	10857	1126
453	10876	1102
454	10902	1078
455	10925	1054
456	10948	1030
457	10969	1005
458	10991	981
459	11017	958
460	11040	934
461	11062	909
462	11083	885
463	11105	861
464	11127	837
465	11154	813
466	11176	789
467	11204	766
468	11222	741
469	11244	717
470	11266	693
471	11289	669
472	11312	645
473	11332	621
474	11354	597
475	11383	573
476	11401	549
477	11422	525
478	11445	501
479	11464	477
480	11479	453
481	11505	429
482	11531	405
483	11555	381
484	11584	358
485	11608	334
486	11630	310
487	11655	286
488	11688	262
489	11738	239
490	11787	216
491	11828	192
492	11856	168
493	11877	144
494	11900	120
495	11926	96
496	11951	72
497	11973	48
498	11994	24
499	12020	0
