iter	Logloss
185	0.5470943851
186	0.546976735
187	0.5469396137
188	0.5465630715
189	0.5464225908
190	0.5459187091
191	0.5458944475
192	0.5457563336
193	0.5456268518
194	0.5454348837
195	0.5453002139
196	0.5449438561
197	0.5447714332
198	0.5445617638
199	0.544521507
200	0.5443596101
201	0.5439850593
202	0.5439313169
203	0.5437873517
204	0.5435380986
205	0.5431335797
206	0.5430153788
207	0.5428544495
208	0.5423474584
209	0.5422889787
210	0.5420403043
211	0.5417920211
212	0.5417006912
213	0.541416706
214	0.5411856486
215	0.5411383919
216	0.5409542996
217	0.5409508728
218	0.5406364863
219	0.5404834752
220	0.5402416419
221	0.5399241332
222	0.5396903825
223	0.5393733072
224	0.5392437679
225	0.538761332
226	0.5385501533
227	0.5383609422
228	0.5382365897
229	0.5381188868
230	0.5378004894
231	0.5375596653
232	0.5373210786
233	0.5371558283
234	0.5370957499
235	0.5369329225
236	0.5367257542
237	0.5364646479
238	0.5364095195
239	0.5361239175
240	0.5359410858
241	0.535750039
242	0.5354359986
243	0.535310503
244	0.5350472524
245	0.5349690455
246	0.5347131022
247	0.5343960128
248	0.5341420851
249	0.5340512596
250	0.5337889686
251	0.5335216221
252	0.5333429701
253	0.5330716006
254	0.5328991668
255	0.5327169496
256	0.5324790818
257	0.5321275205
258	0.5319118791
259	0.5317534683
260	0.5315806156
261	0.5312729287
262	0.5311280526
263	0.5309360421
264	0.5306391218
265	0.5303364635
266	0.5301156338
267	0.5297906149
268	0.5295816282
269	0.5293725339
270	0.5291843981
271	0.5289469929
272	0.5287413416
273	0.5284715427
274	0.5281114792
275	0.527861466
276	0.5277601299
277	0.5275539372
278	0.527389942
279	0.5271958321
280	0.527075771
281	0.5270256563
282	0.5267886801
283	0.5266550948
284	0.5264810525
285	0.5262746286
286	0.5260429374
287	0.5257945979
288	0.5255567765
289	0.5254366841
290	0.5251491298
291	0.5249647942
292	0.5247407259
293	0.5247287423
294	0.5247239381
295	0.524368908
296	0.5242092275
297	0.5241268873
298	0.5239187864
299	0.5237616623
300	0.5236245766
301	0.5232933248
302	0.5231542568
303	0.5229696207
304	0.5226970605
305	0.5224650403
306	0.5222150837
307	0.5218999628
308	0.5216194049
309	0.5215170315
310	0.5213647444
311	0.5210619697
312	0.5207803758
313	0.520444957
314	0.5201203117
315	0.5198450936
316	0.5195825435
317	0.5195392411
318	0.51937154
319	0.5192775628
320	0.5191411417
321	0.5188699806
322	0.5187259279
323	0.5185316213
324	0.518379287
325	0.5182815868
326	0.5180576315
327	0.5178517717
328	0.5177114935
329	0.5173870057
330	0.5172207862
331	0.5169988458
332	0.5168488832
333	0.5166793648
334	0.5165073813
335	0.5162139294
336	0.515983237
337	0.5159557711
338	0.5157008207
339	0.5153212644
340	0.5152149433
341	0.5151000392
342	0.5147936456
343	0.5145670978
344	0.5144089182
345	0.5142026773
346	0.5138109296
347	0.5136327791
348	0.5134019554
349	0.5133352939
350	0.5129662253
351	0.5128153727
352	0.5126039753
353	0.5125903347
354	0.5123851935
355	0.5121524165
356	0.5118576585
357	0.5116558047
358	0.5115330625
359	0.5113790986
360	0.5112936689
361	0.5111666488
362	0.5109267844
363	0.5107251738
364	0.5105127115
365	0.5104082245
366	0.5102177554
367	0.5102013828
368	0.5099428872
369	0.509682067
370	0.5093938059
371	0.5092095808
372	0.5090396465
373	0.5088449726
374	0.5086546635
375	0.5084510522
376	0.508114228
377	0.5079162017
378	0.5076731161
379	0.5074710922
380	0.507246046
381	0.5070347622
382	0.506704183
383	0.5065112785
384	0.5065011768
385	0.5064315463
